,date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,rain_today_b,rain_tomorrow_b,temp_change_9to3,temp_change_min_max,humidity_change,humidity_change_percent,pressure_change,wind_change_direction,wind_gust_change_3,wind_gust_change_9
0,2021-09-01 00:00:00,25.5,34.6,0.0,4.8,8.7,26.0,6.0,19.0,68.0,56.0,1010.7,1006.2,7.0,7.0,30.6,33.1,False,False,2.5,9.1,12.0,0.1764705882352941,4.5,False,True,True
1,2021-09-01 01:00:00,24.9,34.5,0.0,4.8,9.9,37.0,4.0,20.0,67.0,56.0,1009.4,1006.8,2.0,4.0,29.6,32.8,False,False,3.199999999999996,9.6,11.0,0.1641791044776119,2.6000000000000227,False,True,True
2,2021-09-01 02:00:00,26.6,34.2,0.4,3.2,6.2,70.0,7.0,11.0,69.0,54.0,1009.7,1006.1,3.0,4.0,30.9,33.6,False,True,2.700000000000003,7.600000000000001,15.0,0.217391304347826,3.6000000000000227,False,True,False
3,2021-09-01 03:00:00,24.5,33.4,8.0,5.6,7.2,48.0,6.0,19.0,81.0,60.0,1009.6,1006.4,7.0,7.0,29.2,32.6,True,True,3.400000000000002,8.899999999999999,21.0,0.2592592592592592,3.200000000000045,False,True,True
4,2021-09-01 04:00:00,24.5,31.8,6.2,6.2,6.5,57.0,6.0,7.0,77.0,67.0,1008.9,1006.5,6.0,7.0,30.3,31.1,True,True,0.8000000000000007,7.300000000000001,10.0,0.1298701298701298,2.3999999999999773,False,True,True
5,2021-09-01 05:00:00,25.3,33.6,2.4,3.4,7.5,35.0,7.0,24.0,74.0,60.0,1008.2,1004.3,7.0,6.0,30.9,32.9,True,True,2.0,8.3,14.0,0.1891891891891892,3.900000000000091,False,False,True
6,2021-09-01 06:00:00,23.2,31.6,50.8,16.2,1.2,43.0,9.0,11.0,89.0,79.0,1008.8,1006.0,8.0,7.0,27.2,29.4,True,False,2.2,8.400000000000002,10.0,0.1123595505617977,2.7999999999999545,False,True,True
7,2021-09-01 07:00:00,25.4,31.6,0.2,1.8,1.2,39.0,9.0,11.0,83.0,79.0,1008.2,1004.8,8.0,7.0,27.7,28.8,False,True,1.1000000000000014,6.200000000000003,4.0,0.0481927710843373,3.400000000000091,True,True,True
8,2021-09-01 08:00:00,24.9,30.5,29.2,3.6,2.2,30.0,11.0,17.0,93.0,82.0,1006.0,1003.1,7.0,7.0,25.8,28.0,True,True,2.2,5.600000000000001,11.0,0.1182795698924731,2.8999999999999773,False,False,True
9,2021-09-01 09:00:00,25.0,28.9,10.4,3.4,0.9,59.0,20.0,30.0,85.0,90.0,1001.6,999.5,5.0,7.0,27.9,27.3,True,True,0.5999999999999979,3.899999999999999,-5.0,-0.0588235294117647,2.1000000000000227,True,True,True
10,2021-09-01 10:00:00,23.8,31.1,85.0,5.469824216349109,2.1,57.0,28.0,26.0,95.0,71.0,1007.0,1003.9,8.0,8.0,24.3,30.9,True,True,6.599999999999998,7.300000000000001,24.0,0.2526315789473684,3.1000000000000227,False,True,True
11,2021-09-01 11:00:00,23.8,27.5,24.4,0.6,0.0,33.0,13.0,11.0,96.0,94.0,1008.0,1005.8,8.0,8.0,24.5,24.8,True,True,0.3000000000000007,3.6999999999999993,2.0,0.0208333333333333,2.200000000000045,False,True,True
12,2021-09-01 12:00:00,23.3,33.5,37.2,5.2,8.8,37.0,7.0,20.0,86.0,60.0,1007.9,1004.6,5.0,5.0,27.5,33.1,True,False,5.600000000000001,10.2,26.0,0.3023255813953488,3.2999999999999545,False,True,True
13,2021-09-01 13:00:00,26.2,33.2,0.0,4.6,5.7,48.0,15.0,24.0,79.0,71.0,1008.1,1005.6,7.0,7.0,29.5,31.0,False,False,1.5,7.000000000000004,8.0,0.1012658227848101,2.5,False,False,True
14,2021-09-01 14:00:00,25.6,33.2,0.6,3.0,8.1,39.0,11.0,22.0,81.0,66.0,1008.5,1004.7,6.0,5.0,29.4,32.5,False,False,3.1000000000000014,7.600000000000001,15.0,0.1851851851851851,3.7999999999999545,True,True,True
15,2021-09-01 15:00:00,25.4,33.4,0.0,4.8,6.3,52.0,7.0,13.0,85.0,55.0,1006.6,1004.5,8.0,7.0,28.0,32.3,False,True,4.299999999999997,8.0,30.0,0.3529411764705882,2.1000000000000227,False,True,True
